,Fulton,Gwinnett,Cobb,Dekalb,Chatham,Clayton,Cherokee,Forsyth,Henry,Richmond,Hall,Muscogee,Paulding,Houston,Bibb,Columbia,Douglas,Coweta,Clarke,Carroll,Lowndes,Fayette,Newton,Bartow,Whitfield,Floyd,Walton,Rockdale,Dougherty,Glynn,Barrow,Bulloch,Troup,Walker,Jackson,Catoosa,Spalding,Liberty,Effingham,Camden,Baldwin,Oconee,Bryan,Banks
2015-03-31,1538.2,1500.4,1422.36,1261.52,1260.96,1110.93,1535.97,1820.41,1374.72,1024.16,953859.28,940.65,,1098.85,850.99,1334.2,1284.48,1472.27,1124.99,1145.59,1172.68,1595.05,1218.19,1164.21,,,,1170.42,,,1269.18,,,,,,,1062.79,,,,,,
2015-04-30,1539.69,1502.14,1423.85,1262.69,1264.32,1119.68,1544.84,1821.78,1379.74,1035.76,1359397.79,943.59,,1094.85,868.68,1338.44,1279.39,1480.29,1144.75,1141.14,1167.6,1592.04,1211.94,1167.52,,,,1162.93,,,1268.51,,,,,,,1068.02,,,,,,
2015-05-31,1544.08,1498.43,1423.79,1261.67,1255.24,1114.72,1539.92,1835.77,1381.07,1051.13,1686724.76,945.38,,1097.33,861.41,1331.44,1275.6,1469.11,1155.48,1146.79,1168.22,1584.26,1208.43,1172.48,,,,1166.72,,,1254.68,,,,,,,1079.85,,,,,,
2015-06-30,1553.43,1504.06,1424.1,1261.23,1252.82,1113.4,1544.17,1848.29,1382.86,1051.91,1915017.69,959.71,,1112.11,867.69,1331.82,1281.14,1465.65,1158.14,1142.79,1162.4,1603.44,1207.46,1190.83,,,,1153.01,,,1256.43,,,,,,,1072.77,,,,,,
2015-07-31,1570.09,1514.13,1433.28,1268.7,1258.19,1109.3,1554.49,1857.56,1392.72,1068.43,2062928.87,995.68,,1112.15,862.99,1330.73,1295.22,1460.76,1162.88,1158.81,1164.66,1624.93,1219.12,1189.6,,,,1161.61,,,1258.24,,,,,,,1075.04,,,,,,
2015-08-31,1571.29,1526.43,1445.22,1277.47,1267.73,1119.73,1565.77,1870.96,1396.73,1063.79,2119545.55,1019.95,,1116.23,853.35,1333.9,1305.47,1461.39,1161.15,1187.5,1161.21,1624.6,1234.35,1201.98,,,,1166.12,,,1280.15,,,,,,,1064.89,,,,,,
2015-09-30,1575.16,1540.23,1459.91,1286.67,1281.22,1125.84,1579.37,1880.65,1402.86,1077.98,2089469.68,999.33,,1106.82,861.08,1338.66,1305.07,1470.97,1164.89,1196.2,1166.22,1624.62,1236.32,1192.55,,,,1186.97,,,1302.29,,,,,,,1077.85,,,,,,
2015-10-31,1580.12,1545.47,1462.85,1292.67,1283.23,1129.21,1586.08,1891.16,1409.34,1078.59,1976418.0,956.65,,1094.52,857.98,1338.72,1309.86,1472.83,1169.88,1192.65,1164.27,1607.36,1235.16,1188.51,,,,1186.82,,,1320.66,,,,,,,1074.0,,,,,,
2015-11-30,1595.12,1552.05,1470.2,1302.32,1286.21,1131.16,1580.42,1889.13,1426.11,1076.97,1805156.2,927.73,,1092.61,865.76,1348.23,1312.25,1486.42,1184.04,1189.92,1157.23,1622.19,1227.27,1150.9,,,,1177.94,,,1319.23,,,,,,,1085.44,,,,,,
2015-12-31,1611.67,1557.96,1476.93,1314.35,1285.02,1139.67,1586.09,1893.44,1439.61,1062.0,1578823.59,930.37,,1101.28,861.47,1357.01,1326.54,1498.25,1195.95,1193.72,1168.34,1638.48,1245.44,1165.09,,,,1186.47,,,1329.97,,,,,,,1079.77,,,,,,
2016-01-31,1616.38,1563.83,1484.87,1323.77,1287.92,1146.75,1594.55,1889.71,1437.24,1033.39,1313638.67,936.18,,1134.28,867.19,1359.24,1328.77,1500.81,1192.66,1191.21,1166.91,1650.6,1256.28,1176.15,,,,1203.19,,,1322.04,,,,,,,1118.01,,,,,,
2016-02-29,1619.81,1571.77,1490.7,1329.13,1295.65,1151.2,1609.56,1902.88,1437.39,1041.0,1061811.84,941.5,,1127.66,882.64,1354.09,1336.96,1507.25,1188.57,1201.89,1177.92,1668.56,1282.35,1206.81,,,,1220.36,,,1339.97,,,,,,,1108.93,,,,,,
2016-03-31,1625.03,1571.25,1499.49,1340.47,1306.58,1149.47,1617.7,1896.04,1432.33,1048.09,812098.76,950.46,,1121.23,898.81,1346.88,1336.79,1511.54,1189.47,1203.64,1165.3,1683.06,1277.14,1203.24,,,,1227.01,,,1323.95,,,,,,,1117.74,,,,,,
2016-04-30,1624.45,1567.27,1496.8,1338.26,1302.6,1148.1,1613.27,1885.3,1441.2,1071.55,620033.79,943.59,,1110.38,896.9,1339.96,1339.39,1521.66,1189.57,1214.04,1147.41,1695.15,1278.09,1207.43,,,,1214.28,,,1325.99,,,,,,,1083.05,,,,,,
2016-05-31,1636.11,1561.2,1495.12,1339.66,1295.92,1148.61,1599.26,1891.8,1441.66,1072.46,489867.53,944.79,,1120.85,884.6,1337.9,1340.78,1522.25,1203.89,1225.27,1144.75,1673.55,1264.18,1232.15,,,,1213.38,744.53,,1287.56,,,,,,,1084.62,,,,,,
2016-06-30,1642.24,1561.71,1487.02,1334.13,1286.95,1155.6,1592.85,1903.98,1442.65,1080.41,430360.79,952.84,,1129.35,870.47,1338.23,1350.36,1512.4,1198.16,1226.93,1142.02,1656.46,1255.51,1246.85,,,,1207.06,749.63,,1290.74,,,,,,,1078.19,,,,,,
2016-07-31,1657.72,1568.93,1500.19,1348.98,1300.51,1160.18,1597.17,1923.26,1448.6,1083.37,425058.55,988.23,,1134.95,874.84,1344.34,1355.99,1514.63,1209.42,1227.56,1158.8,1659.22,1258.81,1259.79,,,,1225.09,749.42,,1300.83,,,,,,,1083.5,,,,,,
2016-08-31,1663.64,1574.41,1506.11,1351.9,1304.9,1167.2,1616.06,1921.62,1455.29,1086.82,444078.55,998.68,,1131.35,879.4,1347.64,1348.85,1506.22,1202.32,1231.58,1153.47,1666.3,1267.93,1254.12,,,,1233.82,739.25,,1344.46,,,,,,,1080.13,,,,,,
2016-09-30,1665.18,1576.7,1512.14,1358.93,1303.07,1166.82,1619.08,1909.82,1456.57,1088.14,443621.39,974.11,,1130.55,886.45,1344.24,1333.04,1521.67,1219.37,1244.5,1153.83,1673.56,1278.45,1240.04,,,,1241.23,734.88,,1350.89,,,,,,,1088.22,,,,,,
2016-10-31,1677.17,1579.51,1512.39,1365.03,1292.23,1172.65,1625.96,1903.37,1463.07,1095.02,389338.1,936.21,,1106.44,881.05,1338.6,1336.46,1527.4,1231.13,1240.82,1150.56,1679.94,1275.66,1235.68,,,,1236.17,734.54,,1364.3,,,,,,,1084.79,,,,,,
2016-11-30,1683.75,1588.23,1515.04,1380.6,1287.69,1174.01,1619.96,1895.04,1466.24,1085.01,304503.02,919.1,,1102.5,878.52,1337.75,1352.07,1539.13,1249.75,1239.54,1160.74,1692.87,1285.98,1230.39,,,,1236.41,743.15,,1373.52,,,,,,,1093.72,,,,,,
2016-12-31,1686.43,1592.28,1511.64,1385.82,1296.65,1182.69,1614.96,1885.77,1469.1,1071.3,213360.89,922.36,,1101.82,882.26,1344.33,1368.28,1537.34,1246.18,1241.71,1182.92,1707.59,1293.73,1253.55,,,,1244.38,749.77,,1377.75,,,,,,,1058.52,,,,,,
2017-01-31,1681.6,1591.44,1511.18,1386.89,1299.84,1187.25,1599.65,1883.35,1450.13,1048.4,140196.84,924.6,,1121.23,881.34,1344.0,1359.95,1527.78,1233.7,1233.78,1180.89,1702.75,1305.9,1251.37,,,,1250.96,750.45,,1376.1,,,,,,,1049.86,,,,,,
2017-02-28,1681.48,1598.03,1517.01,1388.23,1309.57,1196.91,1610.11,1899.13,1444.13,1046.78,99919.44,927.73,,1125.48,896.63,1339.75,1366.12,1528.37,1239.17,1239.15,1171.27,1711.95,1318.2,1257.1,,,,1249.42,739.85,,1375.54,,,,,,,1074.95,,,,,,
2017-03-31,1687.74,1603.64,1526.15,1398.98,1308.67,1197.6,1623.29,1916.23,1450.31,1056.53,83354.99,924.97,,1119.08,881.81,1335.54,1370.38,1535.37,1238.44,1239.78,1145.3,1710.27,1338.2,1261.81,,,,1244.64,733.34,,1387.19,,,,,,,1076.91,,,,,,
2017-04-30,1686.27,1608.52,1526.87,1400.59,1310.46,1186.15,1637.32,1922.12,1467.4,1065.75,87100.98,930.43,,1121.98,881.03,1330.09,1381.44,1537.77,1234.36,1244.3,1143.09,1706.69,1335.18,1270.89,,,,1244.13,731.97,,1377.13,,,,,,,1084.3,,,,,,
2017-05-31,1696.33,1613.69,1537.16,1403.1,1316.84,1192.24,1643.19,1937.44,1478.38,1079.96,102487.05,935.7,,1132.24,873.61,1338.56,1380.79,1549.92,1228.8,1252.32,1148.92,1702.62,1328.01,1280.12,,,,1260.36,746.5,,1386.55,,,,,,,1094.31,,,,,,
2017-06-30,1703.84,1624.06,1552.84,1408.29,1317.1,1193.37,1646.87,1947.73,1477.53,1083.06,120795.5,956.83,,1147.8,882.97,1340.96,1389.2,1534.97,1227.48,1247.84,1154.58,1711.75,1325.34,1294.6,,,,1264.9,743.88,,1401.62,,,,,,,1093.18,,,,,,
2017-07-31,1718.54,1633.42,1560.83,1418.05,1330.23,1203.48,1659.81,1954.45,1481.45,1086.88,137020.23,983.82,,1153.64,878.07,1350.85,1390.26,1538.74,1252.07,1264.16,1154.96,1729.5,1337.54,1308.1,,,,1267.98,742.79,,1421.42,,,,,,,1097.02,,,,,,
2017-08-31,1722.24,1637.14,1566.76,1421.6,1333.96,1203.96,1667.27,1942.74,1486.8,1087.61,144662.81,991.05,,1147.34,862.01,1347.31,1404.92,1531.29,1260.38,1276.8,1149.52,1729.97,1342.22,1310.08,,,,1271.5,737.76,,1442.24,,,,,,,1097.56,,,,,,
2017-09-30,1723.42,1640.73,1569.58,1421.43,1337.82,1211.94,1674.04,1935.62,1490.62,1092.55,140783.08,968.28,,1142.36,862.03,1342.67,1391.93,1540.7,1274.63,1280.12,1141.35,1722.36,1336.35,1298.64,,,,1272.65,735.46,,1439.14,,,,,,,1088.33,,,,,,
2017-10-31,1727.06,1643.44,1575.94,1429.69,1337.17,1222.38,1673.53,1934.56,1500.83,1094.21,126340.61,935.61,,1140.62,868.86,1347.21,1404.2,1550.99,1270.98,1280.57,1142.17,1720.27,1333.98,1277.31,,,,1273.51,736.64,,1431.16,,,,,,,1087.91,,,,,,
2017-11-30,1732.55,1642.48,1583.59,1434.0,1332.79,1223.35,1671.98,1938.43,1503.71,1091.17,106872.1,920.89,,1130.37,890.61,1354.8,1397.4,1556.41,1275.35,1268.81,1150.14,1734.94,1340.45,1263.39,,,,1276.0,732.99,,1414.16,,,,,,,1094.46,,,,,,
2017-12-31,1740.25,1642.15,1580.98,1448.3,1328.85,1225.39,1672.55,1937.48,1518.86,1083.68,88062.81,930.09,,1132.7,893.4,1359.06,1413.87,1568.98,1285.09,1283.78,1158.29,1687.75,1348.0,1264.56,,,,1283.53,745.68,,1407.19,,,,,,,1102.2,,,,,,
2018-01-31,1740.76,1646.49,1583.93,1450.08,1325.73,1223.49,1672.49,1937.1,1519.56,1072.58,70032.61,933.52,,1131.58,894.4,1354.4,1412.41,1562.58,1294.43,1265.2,1157.6,1688.8,1363.47,1279.63,,,,1298.13,753.02,,1409.68,,,,,,,1095.51,,,,,,
2018-02-28,1740.64,1650.13,1576.38,1455.76,1333.15,1224.59,1679.27,1944.93,1515.05,1056.09,54843.23,933.6,,1137.27,899.73,1347.12,1420.96,1551.79,1301.81,1271.69,1151.8,1669.21,1372.86,1284.45,,,,1302.79,752.05,,1435.09,,,,,,,1077.24,,,,,,
2018-03-31,1739.38,1651.65,1585.02,1458.38,1330.78,1230.71,1692.73,1953.2,1508.37,1062.68,31270.91,933.63,,1128.85,889.04,1362.54,1432.67,1544.86,1308.47,1286.16,1148.69,1717.15,1380.91,1289.82,,,,1304.64,737.79,,1441.26,,,,,,,1081.94,,,,,,
2018-04-30,1736.31,1646.14,1585.89,1462.33,1331.48,1234.52,1696.86,1948.06,1506.37,1072.86,25261.3,931.81,,1129.57,890.42,1357.48,1431.4,1545.82,1299.36,1309.55,1146.14,1724.16,1377.54,1307.99,,,,1275.21,730.74,,1454.25,,,,,,,1084.12,,,,,,
2018-05-31,1739.02,1650.49,1592.35,1459.96,1320.35,1240.41,1699.58,1952.19,1525.31,1095.03,40102.85,935.35,,1124.92,884.84,1356.83,1438.04,1558.68,1309.63,1318.54,1146.88,1742.15,1378.57,1322.92,,,,1273.57,736.98,,1447.67,,,,,,,1085.25,,,,,,
2018-06-30,1745.86,1656.87,1586.95,1466.88,1339.03,1246.74,1700.57,1954.22,1541.93,1100.33,50979.65,941.46,,1137.86,888.86,1346.21,1436.66,1564.27,1296.77,1309.46,1145.3,1769.09,1379.98,1349.6,,,,1279.25,738.3,,1474.68,,,,,,,1084.2,,,,,,
2018-07-31,1756.72,1667.27,1590.3,1470.59,1349.29,1253.72,1700.69,1961.45,1553.94,1094.76,57379.62,963.36,,1142.36,880.59,1354.36,1450.67,1567.03,1321.99,1311.23,1143.68,1775.07,1382.54,1347.88,,,,1295.5,742.47,,1476.24,,,,,,,1087.08,,,,,,
2018-08-31,1763.8,1670.57,1597.48,1472.58,1365.64,1261.32,1710.56,1955.99,1559.46,1092.06,60301.13,970.36,,1157.23,885.72,1365.06,1450.75,1568.25,1342.18,1319.41,1137.94,1776.83,1388.38,1365.55,,,,1302.82,740.87,,1486.41,,,,,,,1092.48,,,,,,
2018-09-30,1776.15,1677.85,1613.23,1478.47,1355.92,1265.24,1709.03,1958.56,1557.57,1092.51,60115.22,960.59,,1155.81,895.27,1365.13,1456.2,1576.25,1364.72,1313.3,1136.97,1771.82,1401.5,1350.57,,,,1308.16,745.21,,1482.53,,,,,,,1097.04,,,,,,
2018-10-31,1786.31,1680.71,1617.51,1488.66,1351.68,1279.11,1716.2,1953.84,1560.84,1099.95,56059.41,935.53,,1163.4,909.26,1364.38,1458.77,1581.36,1364.21,1322.83,1129.24,1773.22,1411.7,1345.5,,,,1326.72,754.31,,1489.06,,,,,,,1094.28,,,,,,
2018-11-30,1803.95,1695.06,1626.44,1511.35,1349.24,1299.44,1715.7,1963.87,1568.08,1093.87,49394.67,929.0,,1130.05,907.16,1367.7,1474.54,1588.87,1358.69,1316.23,1134.07,1773.02,1421.89,1332.35,,,,1327.8,754.95,,1491.66,,,,,,,1107.91,,,,,,
2018-12-31,1817.02,1706.72,1638.68,1525.55,1361.68,1315.88,1738.32,1963.69,1583.41,1093.52,41441.17,940.87,,1134.76,906.43,1377.61,1501.22,1594.54,1374.62,1331.29,1139.06,1785.02,1423.77,1332.67,,,,1353.06,763.39,,1494.2,,,,,,,1108.54,,,,,,
2019-01-31,1826.59,1718.31,1647.0,1535.45,1366.71,1314.59,1747.33,1972.44,1584.48,1082.11,33839.35,943.39,,1139.28,896.99,1374.26,1513.62,1600.42,1374.03,1342.57,1147.57,1805.31,1430.09,1351.78,,,,1361.34,756.52,,1503.85,,,,,,,1106.12,,,,,,
2019-02-28,1824.64,1712.8,1650.49,1537.12,1366.35,1305.08,1751.41,1982.95,1579.77,1090.29,27495.63,940.54,,1163.86,895.6,1367.89,1511.71,1612.55,1376.73,1348.45,1144.96,1824.56,1438.65,1350.33,,,,1380.41,754.9,,1502.48,,,,,,,1087.42,,,,,,
